SAMPLEID	VERDY3	VERDY6	VERDY24	VERDY4	NT1	NT2	NT3	NT4	NT5	VERDY5	VERDY7	VERDY2	VERDY8	VERDY21	VERDY33	VERDY34	VERDY35	VERDY36	VERDY38	VERDY39	VERDY51	VERDY40	VERDY49	VERDY53	VERDY20	VERDY37	VERDY65	VERDY66	VERDY9	VERDY17	VERDY54	VERDY19	VERDY18	VERDY52	VERDY23	VERDY55
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; NA; NA; NA; NA; NA; NA"	0	0	268	0	0	0	0	0	0	3	0	0	16	0	56	0	20	29	0	0	0	3	0	12	9	0	26	6	0	0	52	0	132	0	26	0
"Bacteria; NA; NA; NA; NA; NA; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; NA; NA"	0	0	12	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	7	0	0	0
"Bacteria; NA; NA; NA; NA; NA; NA"	0	9	0	0	0	0	0	0	0	0	12	75	0	0	18	43	25	0	0	0	0	0	0	43	10	0	0	3	0	0	0	4	12	0	0	0
"Bacteria; Firmicutes; Bacilli; Mycoplasmatales; Mycoplasmataceae; Mycoplasma; hominis"	12	0	0	20	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	13	61558	0	0	0	0	0	11	0	0	0	0
"Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	0	0	0	0	14	0	0	0	6	0	0	0	0	19	0	0	0	0	0
"Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	12	0	0	0	0	0
"Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus; NA"	0	0	0	0	0	0	17	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
"Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; Tersicoccus; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
