P;T
VERDY3;NT1
VERDY6;NT2
VERDY24;NT3
VERDY4;NT4
VERDY5;NT5
VERDY7;
VERDY2;
VERDY8;
VERDY21;
VERDY33;
VERDY34;
VERDY35;
VERDY36;
VERDY38;
VERDY39;
VERDY51;
VERDY40;
VERDY49;
VERDY53;
VERDY20;
VERDY37;
VERDY65;
VERDY66;
VERDY9;
VERDY17;
VERDY54;
VERDY19;
VERDY18;
VERDY52;
VERDY23;
VERDY55;
