SAMPLEID	NT_VERDY10	NT_VERDY11	NT_VERDY12	NT_VERDY13	NT_VERDY14	NT_VERDY15	NT_VERDY16	VERDY17	VERDY18	VERDY19	VERDY1	VERDY20	VERDY21	VERDY22	VERDY23	VERDY24	NT_VERDY25	NT_VERDY26	NT_VERDY27	NT_VERDY28	NT_VERDY29	VERDY2	NT_VERDY30	NT_VERDY31	NT_VERDY32	VERDY33	VERDY34	VERDY35	VERDY36	VERDY37	VERDY38	VERDY39	VERDY3	VERDY40	NT_VERDY41	VERDY42	NT_VERDY43	NT_VERDY44	NT_VERDY45	NT_VERDY46	NT_VERDY47	NT_VERDY48	VERDY49	VERDY4	VERDY50	VERDY51	VERDY52	VERDY53	VERDY54	VERDY55	VERDY56	NT_VERDY57	NT_VERDY58	NT_VERDY59	VERDY5	NT_VERDY60	NT_VERDY61	NT_VERDY62	NT_VERDY63	NT_VERDY64	VERDY65	VERDY66	VERDY67	VERDY68	VERDY69	VERDY6	VERDY70	VERDY71	VERDY72	NT_VERDY73	NT_VERDY74	NT_VERDY75	NT_VERDY76	NT_VERDY77	NT_VERDY78	NT_VERDY79	VERDY7	NT_VERDY80	VERDY8	VERDY9
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO69"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00223214	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Zierdtviridae; Ceetrepovirus; Ceetrepovirus_Unclassified; NAO72"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187156	0	0	0	0	0	0	0	0	0	0	0.0146789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO73"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19322	0	0.00338983	0	0	0	0	0	0	0.00338983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO74"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00510856	0	0.00127714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00255428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00255428	0	0	0	0	0	0	0	0	1.14943	0	0	0	0	0	0	0	0	0	0.00766284	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO75"	0.344743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Stenotrophomonas phage vB_SM_ytsc_ply2008005c; unclassified QueuovirinaeO76"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00116822	0	0	0.00116822	0	0.00584112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0876168	0.00817757	0.0046729	0.088785	0	0.435748	0.010514	0.0140187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO77"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00233372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO78"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25162	0	0	0	0	0	0	0	0	0.462203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107991	0	0	0	0	0	0	0	0.0593952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107991	0	0	0	0	0	0	0	0
"Viruses; Artverviricota; Revtraviricetes; Ortervirales; Retroviridae; Retroviridae_Unclassified; Human endogenous retrovirus; unclassified RetroviridaeO81"	0	0	0	0	0	0	0	0.0167598	0.00837989	0.0335196	0.117318	0.0195531	0.0223464	0	0.0139665	0.00558659	0	0	0	0	0	0.153631	0	0	0	0.0167598	0.0111732	0.0335196	0.00558659	0.0027933	0.00558659	0.00558659	0.203911	0	0	0	0	0	0	0	0.0167598	0	0.0195531	0.0586592	0.0027933	0.0223464	0.0223464	0.047486	0	0.00558659	0	0	0	0	0.0111732	0	0	0	0	0	0.0223464	0.142458	0.0335196	0.0530726	0	0.0195531	0	0	0	0	0	0	0	0	0	0	0.00837989	0	0	0.0027933
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO84"	1.47407	0	0	0	0.00246914	0.00246914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00246914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00493827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00246914
"Viruses; Pisuviricota; Pisoniviricetes; Picornavirales; Iflaviridae; Iflavirus; Deformed wing virus; NAO86"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0360577	0.00240385	0.00841346	0.0108173	0	0.0420673	0	0.00120192	0	0	0.00240385	0	0.00120192	0	0	0	0	0	0	0.763221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO87"	0	0	0.00216216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216216	0.795676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Siphoviridae; Siphoviridae_Unclassified; Siphoviridae_Unclassified_Unclassified; NAO89"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163987	0	0	0	0	0	0	0
"Viruses; Duplornaviricota; Chrymotiviricetes; Ghabrivirales; Totiviridae; Totiviridae_Unclassified; Red clover powdery mildew-associated totivirus 9; unclassified TotiviridaeO90"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Duplornaviricota; Chrymotiviricetes; Ghabrivirales; Totiviridae; Totivirus; Totivirus sp.; unclassified TotivirusO91"	0	0	0	0	0	0.00282486	0	0	0	0	0	0	0	0.00282486	0	0	0	0.00564972	0	0	1.17232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88418	0.00282486	0	0	0	0	0	0	0.00282486	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO93"	0.95122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO94"	0	0	0	0	0.102088	0	0	0	0	0.00928074	0	0	0.00696056	0	0	0.582367	0.0116009	0	0	0	0	0	0	0	0.0185615	0.0174014	0.0475638	2.21926	0.0348028	0.0290023	0.0278422	0.00696056	0	0	0	0	0.00464037	0	0	0	0	0	0	0	0	0.00464037	0	0.00232019	0	0	0	0	0	0.00232019	0	0.00232019	0.0417633	0	0	0	0	0.00232019	0	0	0	0.00232019	0	0	0	0.00464037	0	0	0	0	0	0.00232019	0	0	0.00696056	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes sp.; unclassified CaudoviricetesO97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO99"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217391	0	0	0	0	0	0	0	0	0	0	0	1.7337	0	0.00362319	0	0	0	0	0	0	0	0.139493	0	0	0	0	0	0	0	0.00362319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Duplornaviricota; Chrymotiviricetes; Ghabrivirales; Totiviridae; Totiviridae_Unclassified; Red clover powdery mildew-associated totivirus 9; unclassified TotiviridaeO102"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00292398	0	0	0	0.520468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00292398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO105"	1.91242	0	0	0	0.00261438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00522876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261438
"Viruses; Pisuviricota; Duplopiviricetes; Durnavirales; Partitiviridae; Partitiviridae_Unclassified; Partitiviridae_Unclassified_Unclassified; NAO177"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374883	0	0.0374883	0	0	0.00187441	0	0.000937207	0	0	0	0.00187441	0	0	0.00187441	0.00281162	0	0	2.67385	0	0	0	0	0	0	0	0	0	0.00187441	0	0	0	0	0	0	0	0.00374883	0.00187441	0	0	0.00374883	0	0.000937207	0	0.000937207	0	1.41237	0.00374883	0	0.00374883	0	0	0	0.432052	0.00749766	0.00187441	0	0	0	0.0187441	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO178"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356118	0	0	0.00168776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Artverviricota; Revtraviricetes; Ortervirales; Retroviridae; Retroviridae_Unclassified; Retroviridae_Unclassified_Unclassified; NAO180"	0	0	0	0	0	0.00166528	0	0.0316403	0.00999167	0.00499584	0.00333056	0.00832639	0.00832639	0.0241465	0.0166528	0.0249792	0	0	0	0	0.00499584	0.0199833	0.00249792	0	0	0.0391341	0.011657	0.0333056	0.00499584	0.238968	0.0191507	0.00166528	0	0.0549542	0	0.00166528	0	0	0	0	0.00999167	0	0.00499584	0.0741049	0.0324729	0.011657	0	0.00499584	0.0149875	0.00166528	0	0	0	0	0.00166528	0	0	0	0	0	0.0349709	0	0	0.0249792	0.0333056	0.0166528	0	0	0	0	0	0	0	0	0	0	0.0399667	0	0.0349709	0.0166528
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO182"	0.581831	0	0	0	0.00138696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138696
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO186"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00060241	0	0.00120482	0.00120482	0	0.0060241	0.0891566	0	0	0	0.0108434	0	0	0	0	0	0	0	0	0	0	0	0.0168675	0.155422	0	0	0.0993976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120482	0	0	0	0	0.0120482	0.00361446	0.0156627	0	0	0.013253	0	0	0.0180723	0.00120482	0	0.026506	0
"Viruses; Pisuviricota; Pisoniviricetes; Picornavirales; Iflaviridae; Iflavirus; Deformed wing virus; NAO187"	0.00178042	0	0	0	0	0	0	0	0	0	0	0.000593472	0	0	0	0.901484	0.782789	0.375668	0.894955	0.224332	10.0991	0	0.0670623	0.00237389	0.0391691	0.567359	0.124036	0.836202	0.251039	0.6	0.0724036	0.00474777	0	0	1.34896	0	0	0.00237389	0	0.00118694	0.00118694	0	0.000593472	0	0	0	0.000593472	0	0	0	0.337685	0.208902	0.0148368	0.710979	0	0.1727	0.261721	0.0255193	0.000593472	0	0.00474777	0	0	0	0	0	0.000593472	0	0	0.000593472	0	0	0	0.000593472	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO190"	0	0	0	0	0.00109589	0	0	0	0	0.0142466	0	0	0	0.00547945	0	0.00109589	0	0	0.00438356	0	0	0.00219178	0	0.0405479	0	0.0109589	0	0.00328767	0	0.0120548	0	0.00273973	0	0.00109589	0.0131507	0	0	0	0	0	0.256438	0.0750685	0	0	0	0	0	0	0	0	0	0	0	0.00547945	0	0	0	0.050411	0	0	0	0	0	0	0	0	0	0.00109589	0	0.00219178	0.00547945	0.00109589	0.0120548	0	0	0.11726	0	0	0	0
"Viruses; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 1; NAO196"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00295858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233728	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Cressdnaviricota; Repensiviricetes; Geplafuvirales; Geminiviridae; Begomovirus; Tomato leaf curl New Delhi virus; NAO197"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07805	0	0	0	0	0	0	0	0	0.00243902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00243902	0	0	0	0	0	0	0	0	0.00243902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO198"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO199"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021322	0	0	0	0	0	0	0	0	0	0.00959488	0	0	0	0	0	0	0.0021322	3.67697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021322	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO118"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252874	0	0.0440613	0	0	0	0	0	0	0	0.00191571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00574713	0.505747	0	0	0	0	0.00383142	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Herelleviridae; Herelleviridae_Unclassified; Aerococcus phage vB_AviM_AVP; unclassified HerelleviridaeO119"	0	0	0	0	0	0	0	0	0	0	0.134725	0	0	0	0	3.67362	0	0	0	0	0	0	0	0	0.110057	0	0	0	0	0	0	0	0	0.00189753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00379507	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO120"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00298063	0	0	0	0	0	0	0	0.00298063	0.00298063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO121"	0.508609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00264901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO122"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00475059	0.00118765	0.00118765	0.00118765	0	0.0023753	0	0	0	0.0249406	0	0.0130641	0.786223	0.0118765	0.00593824	0.0023753	0.0118765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO124"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00389105	0	0	0	0	0.480545	0	0.00194553	0	0	0.00389105	0	0	0	0	0.0525292	0	0	0	0	0	0	0	0	0	0	0	0.00389105	0	0	0	0	0	0	0	0	0.231518	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Herelleviridae; Herelleviridae_Unclassified; Staphylococcus phage vB_Sau_S24; unclassified TwortvirinaeO125"	0	0	0	0	0	0	0	0	0	0	0.0576923	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Derbicusvirus; Cronobacter phage CR5; unclassified DerbicusvirusO126"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003663	0	0	0	0	0	0	0	0	0.443223	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO128"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Pisuviricota; Pisoniviricetes; Picornavirales; Iflaviridae; Iflavirus; Iflavirus_Unclassified; NAO129"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603043	0	0	0	0	0.00276625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Duplornaviricota; Chrymotiviricetes; Ghabrivirales; Totiviridae; Totiviridae_Unclassified; Malassezia restricta virus MrV40L; unclassified TotiviridaeO131"	0.334218	0	0	0	0	0.00265252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00265252	0	0.0132626	0	0	0	0	0	0	0.0503979	0	0	0	0	0	0	0	0	0.0185676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO134"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003861	0	0	0	0	0	0	0.111969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO135"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0567108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00756144	0	0	0	0.00189036	0.319471	0	0	0	0	0	0	0
"Viruses;Viruses_Unclassified;Viruses_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified; NAO136"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO137"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0448223	0	0.0015456	0.00772798	0	0.0123648	0	0	0	0.0015456	0	0	0.00927357	0.901082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00309119	0	0	0	0.0015456	0	0	0.00618238	0	0.00309119	0	0	0	0	0	0	0	0.00309119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO138"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100559	0	0	0	0	0	0	0	0.0027933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111732	0	0	0	0	0	0	0
