SAMPLEID	NT_VERDY10	NT_VERDY11	NT_VERDY12	NT_VERDY13	NT_VERDY14	NT_VERDY15	NT_VERDY16	VERDY17	VERDY18	VERDY19	VERDY1	VERDY20	VERDY21	VERDY22	VERDY23	VERDY24	NT_VERDY25	NT_VERDY26	NT_VERDY27	NT_VERDY28	NT_VERDY29	VERDY2	NT_VERDY30	NT_VERDY31	NT_VERDY32	VERDY33	VERDY34	VERDY35	VERDY36	VERDY37	VERDY38	VERDY39	VERDY3	VERDY40	NT_VERDY41	VERDY42	NT_VERDY43	NT_VERDY44	NT_VERDY45	NT_VERDY46	NT_VERDY47	NT_VERDY48	VERDY49	VERDY4	VERDY50	VERDY51	VERDY52	VERDY53	VERDY54	VERDY55	VERDY56	NT_VERDY57	NT_VERDY58	NT_VERDY59	VERDY5	NT_VERDY60	NT_VERDY61	NT_VERDY62	NT_VERDY63	NT_VERDY64	VERDY65	VERDY66	VERDY67	VERDY68	VERDY69	VERDY6	VERDY70	VERDY71	VERDY72	NT_VERDY73	NT_VERDY74	NT_VERDY75	NT_VERDY76	NT_VERDY77	NT_VERDY78	NT_VERDY79	VERDY7	NT_VERDY80	VERDY8	VERDY9
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14489	0	0	0	0	0	0.00776197	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258732	0	0	0	0	0	0.00258732	0	0	0	0	0.0103493	0	0.0103493	0	0	0	0.00517464	0.00517464	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Siphoviridae; Siphoviridae_Unclassified; Streptococcus phage phi-SsuSSJ28_rum; unclassified SiphoviridaeO11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258398	0	0	0	0	0	0	0	0.00258398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.620155	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Siphoviridae; Siphoviridae_Unclassified; Siphoviridae_Unclassified_Unclassified; NAO14"	1.11007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00186567	0	0	0	0	0	0	0	0	0	0	0	0.00279851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000932836	0	0	0	0	0	0	0	0.000932836	0	0	0	0	0	0	0.00373134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses;Viruses_Unclassified;Viruses_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified;Viruses_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified_Unclassified; NAO15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00162338	0	0	0	0	0	0.00162338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.03413	0	0	0	0	0	0	0	0	0.21843	0	0	0	0	0	0	0	0	0.00170648	0	0	0	0	0	0	0	0	0.139932	0	0	0	0	0	0	0	0	0.0631399	0	0	0	0	0	0	0	0	0.00170648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Artverviricota; Revtraviricetes; Ortervirales; Retroviridae; Retroviridae_Unclassified; Retroviridae_Unclassified_Unclassified; NAO19"	0	0	0.00318471	0	0	0	0	0.00318471	0	0	0	0.00318471	0	0	0	0.00318471	0	0	0	0	0	0	0	0	0	0.00318471	0	0.00636943	0	0	0.0111465	0	0	0	0	0	0	0	0	0	0	0	0.0111465	0.00318471	0	0	0	0	0.00318471	0	0	0	0	0	0	0	0	0	0	0	0.089172	0	0.171975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO20"	0	0	0	0	0	0	0	0	0	0	0	0	0.00156006	0	0	0.106084	0	0	0	0	0.00312012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00624025	0.156006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0343214	0	0	0	0.00936037	0	0.00312012	0	0	0.0156006	0	0	0	0	0.00624025	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Pahexavirus; Pahexavirus_Unclassified; NAO21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238806	0	0.0537313	0.00895522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00298507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00298507	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO23"	0	0	0	0	0	0	0	0	0	0	0.414894	0	0	0	0	0	0	0	0.0159574	0	0	0	0	0	0	0	0	0	0.167553	0	0	0	0	0.00265957	0	0	0	0.0531915	0	0	0	0.0106383	0	0	0	0	0.00265957	0	0	0	0	0.00531915	0	0	0	0	0	0	0	0.00265957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0997375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Pisuviricota; Pisoniviricetes; Picornavirales; Iflaviridae; Iflavirus; Deformed wing virus; NAO30"	0.00105152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105152	0.0462671	0	0	0	0	0.00210305	0	0	0	0.0157729	0	0	0	0	0	0	0	0	0.370137	0	0	0	0	0.00210305	0	0	0	0	0	0	0	0	0	0	0	0.00105152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO31"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.508311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Pahexavirus; Pahexavirus_Unclassified; NAO34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331832	0.0015015	0.00900901	0.127628	0.0015015	0.196697	0	0.0045045	0.00600601	0	0.105105	0	0	0	0	0	0	0	0	0.012012	0	0	0	0	0.003003	0	0	0	0	0	0	0	0	0	0	0	0.0930931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO36"	0	0	0	0	0	0	0	0	0.0165289	0	0	0	0	0	0.0358127	0.0495868	0	0.00826446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112948	0.00275482	0.0137741	0	0	0	0.137741	0	0.0165289	0	0	0	0	0	0	0	0.0385675	0	0	0	0	0	0	0	0	0	0.0192837	0	0	0	0	0	0	0	0	0	0	0.0220386	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO42"	0.614594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Tritimovirus; Brome streak mosaic virus; NAO43"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000974659	0	0	0	0.0224172	0.00194932	0.0282651	0.655945	0.0194932	0.0165692	0.00194932	0.00487329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO45"	0	0	0	0	0.00175747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4728	0	0	0	0	0	0	0	0	0.905097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.516696	0	0	0	0	0	0	0	0	0.161687	0	0	0	0	0	0	0	0	0.00175747	0	0	0	0	0	0	0	0	0	0	0	0	0	0
