SAMPLEID	VERDY19	Plrevelo.MOCKZYMO	Plrevelo.NT4	VERDY5	Plrevelo.NT2	VERDY2	VERDY55	ED	VERDY24	VERDY20	VERDY21	VERDY8	VERDY7	VERDY39	VERDY51	VERDY35	VERDY38	VERDY65	VERDY66	VERDY52	VERDY54	VERDY4	VERDY23	VERDY53	Plrevelo.IV01IV	Plrevelo.TLIB2	VERDY40	VERDY33	VERDY9	Plrevelo.TLIB1	VERDY6	Plrevelo.NT1	VERDY17	VERDY34	VERDY36	VERDY3	VERDY18	FMR	VERDY49	Plrevelo.NT5	Plrevelo.NT3	VERDY37
Chryseobacterium indologenes	0.7824	0	0	1.8167	0	0	0	0	0	0	0	0	0.4079	0.8587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3825	0	0	0	0.208	0	0	0	6.8183	0.2198	0.2983
Chryseobacterium indoltheticum	0.313	0	0	13.0802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208	0	0	0	0.1976	0	0
Chryseobacterium oryzae	9.8586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2478	0	0	0	0.2964	0	0
Chryseobacterium salivictor	1.2519	0	0	0.3633	0	0.5645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium sp. 6424	0.4695	0	0	0	0	24.4616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium sp. C-71	0	0	0	9.0835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1491
Chryseobacterium sp. IHB B 17019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.7669	0	0	0	0	0.1976	0	0
Chryseobacterium sp. PET-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseolinea soli	0	0	0	0	0	0	0	0	0	0	0	0.6881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter amalonaticus	1.4084	1.4196	0	0	0	0	0.1093	0	0	0	0	0	0	0	0	0	0	0	0	6.8847	0	0	0	0	0	0	0.6899	0	0	0	0	0	0	0	0	0	0	0	0	0.1976	0	0.2983
Citrobacter braakii	31.7666	0.3549	0	0	0.3533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1861	1.5292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter freundii	57.7433	0.9464	0.6792	1.09	5.2989	0.0941	0.1093	0.1648	0	0	0	0	0	0	0	0	0	0	0	1.3025	0.1274	0	0	0	0	0.4283	0.6899	0	0	0.1758	0.5337	0	0.6904	0.1513	0	0.208	0	0.1994	0	0	0.1099	0
Citrobacter koseri	8.9197	0	0	0	0.3533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.6394	0	0	0	0	0	0.0857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter sp. H12-3-2	0	0	0	0	5.4755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrus leaf blotch virus	0	0.2366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9047	0	0.0857	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1976	0	0
Clavibacter capsici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5975	0	0.3532	0	0	0	0	0	0	0	0	0	0	0	0.0988	0	0.4474
Clavibacter michiganensis	2.8168	0	0.4528	2.5434	0	0.1882	0	0.1648	0	0	0	1.9266	0	0.2862	0	0	0	0	0	0	0	0	0	0	0.2406	1.1992	0	0.1766	0	0.0879	0	0	1.1506	0	0	0	0.7902	0	0	0.8893	1.4284	1.3423
Cloacibacterium caeni	0	0.1183	0	0	0	0.4704	0	0	0	0	0	0	0	0	0.2019	0	0	0	0	0	10.5772	0	0	0	0	0.257	0	3.0019	0	0	0	0	128.636	0.3026	10.7851	0	2.3707	0.2991	0	0.5929	0.2198	0.1491
Cloacibacterium normanense	0.1565	0	0	0	0	0.2822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1274	0	0	0	0	0	0	17.305	0	0	0	0	0	0	0	0	0	3.7884	0	0.0988	0.1099	0
Clostridioides difficile	0	4.3771	0	0	0.1766	0	0.1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.602	0	0.401	0	0	0	0	0	3.4691	0	0	0	0	0	0	0	0	0	0	0
Clostridium botulinum	0	0.1183	8.2633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4563	0	0	0	0	0	0	0	0	35.161	0
Clostridium bovifaecis	0	0	29.6573	0	4.4157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.9591	0
Clostridium butyricum	0	0.1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium estertheticum	0	0	0.566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4563	0	0	0	0	0	0	0	0	0	0
Clostridium novyi	0	0	0.2264	0	0.1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.889	0
Clostridium sp. enrichment culture clone 7-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8388	0	0	0	0	0	0	0	0	0	0
Clostridium sp. MD294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0674	0	0	0	0	0	0	0	0	0	0	0
Collinsella aerofaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0988	0	20.1337
Comamonas antarctica	23.7859	0	0	0.3633	0	0.0941	0.2186	0	0.6397	0	0	0	2.0396	0	0	2.7525	0	0	0	0	0	0	0	0.8714	0.0802	0	0	0	0	0.2637	0.2669	0.6913	0.2301	0	0	0.6239	1.9756	0.5982	0	0	0	0.1491
Comamonas aquatica	34.2704	1.3013	0	1.4534	0.8831	0.0941	0.6557	3.2964	15.3519	0	0	0	0.4079	0.2862	0	0.2394	0	0	0	0	0.3823	0.6724	0	0.2905	0.2406	0	0.6899	0.1766	2.2924	3.7791	0.2669	0	14.7276	1.0591	3.0198	3.5355	10.273	0.6979	0	0.6917	0.4395	1.3423
Comamonas flocculans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5805	0	0	0	0.5494	0
Comamonas fluminis	2.8168	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0879	0	0	0.2301	0	0	0	0	0	0	0	0	0
Comamonas kerstersii	8.4502	0	0	0	0	0	0.2186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2241	0	0	0.1604	0	0.6899	1.0595	0	0.0879	0.2669	0	0	0	0	1.0398	0.7902	1.296	0	0	0.1099	0.2983
Comamonas odontotermitis	0.4695	0	0	0	0	0	0	0	1.2793	0	0	0.1376	0	0.1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2637	0	0	0.4602	0	0	0	0	0	0.1196	0	0	0
Comamonas piscis	0	0.2366	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9919	0	0	0	0	0.3823	0	0	0	0	0	0	0	0	0	0	0	0.9205	0.1513	0	0	0.3951	0.0997	0	0	0	0
Comamonas resistens	1.7213	0	0	0	0	0	0.2186	0	0	0	0	0	0	0.1431	0	0	0	0	0	0	0	0	0	0	0	0.0857	0	0	0	0	0	8.2951	0.2301	0	0	0	0.3951	0	0	0	0	0.2983
Comamonas sp. 7D-2evo1	1.4084	0	0	0	0	0	2.732	0	7.0363	0	0	0	0.4079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2301	0.3026	0.4314	0.4159	0.7902	0	0	0	0	0.1491
Comamonas sp. 7D-2evo2	2.3473	0	0	0	0	0	33.3301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2241	0	0	0	0	0	0	0	0	0	0	0.9205	0	0.4314	0	0.3951	0	0	0	0	0
Comamonas sp. B21-038	0.4695	0	0	0	0	0	0	0.1648	0	0	0.2968	0	0	0.2862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.841	0	0	0	0.3951	0	0	0	0	0
Comamonas sp. C11	1.4084	0	0	0	0	0	0	0	0	0	0.2968	0	0.4079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6108	0	0	0	3.5561	0	0	0	0	0
Comamonas sp. PR12	2.9732	0	0	0	0	0	0	0	0.6397	0	0	0	0	0.2862	0	1.7951	0	0	0	0	0	0.2241	0	0	0.1604	0	0	0	0	0.0879	0	0	0.4602	0	0	0	0.3951	0	0	0	0	0
Comamonas sp. Y33R10-2	1.2519	0	0.1132	0	0	0	3.0598	0	0	0	0	0	0	0	0	0.359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1506	0	5.6083	0	0	0	0	0.0988	0.2198	0
Comamonas terrigena	16.431	0	0.2264	10.1735	5.1222	0	0.1093	0	1.919	0	4.4527	0	0.8158	0	0	0	0	0	0	0	0.1274	0.2241	0	0	0	0	0	0	0	0	0.2669	0	0	0	0.4314	0	0	0.1994	0	0	0	0
Comamonas testosteroni	106.254	0.2366	0.2264	0.7267	0.8831	0.0941	1.0928	0.1648	6.3966	0	0	0.1376	3.2633	0	0.4037	0.1197	0.3716	0	0	0	1.0195	0.8965	0	0.5809	0	0	0	0.1766	20.6313	0.6152	0.2669	0.6913	131.628	1.8155	7.7653	3.3275	56.5016	1.8942	0	5.7313	0.5494	0.8948
Comamonas thiooxydans	53.2052	0.2366	0.1132	0.3633	0	0.7527	3.0598	0.3296	9.595	0	0	0.2752	4.8949	0.4293	0	0.359	0	0	0	0	0.1274	0.8965	0	0.5809	0.0802	0.257	0.6899	0.1766	0	0.1758	0.2669	1.3825	35.8984	0.4539	5.6083	1.0398	27.263	0.1994	0.1196	4.7432	0.5494	0.4474
Conchiformibius steedae	0	0	0	0	0	0	0	0	0	0.6639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2548	0	0	0	0	0	0.6913	0	0	0	0	0	0	0	0.0988	0	0
Coprococcus sp. ART55/1	0	0	0	0	0	1.5994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.5477	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium accolens	0	0.7098	0.7924	0.3633	0.7065	0.5645	0.3278	0	1.2793	0.6639	0.8905	0	0	0.1431	0	0	0	0	0	0	0.1274	1.1206	0	0	5.8548	0.1713	0	11.1246	0	0.0879	0	0	0	27.2326	0.8628	0.6239	0	0	2.3924	0.0988	9.5594	13.5716
Corynebacterium afermentans	0.6259	7.6895	17.9981	0	0	0.1882	0	0.1648	0	0	2.9685	0.1376	0	0	0	0	0	0	0	0	0	1.3448	1.2039	0	1.4436	0.4283	0	0	0	0.0879	0	0	0	0	19.8446	0	0	0.0997	0	0.4941	0	2.3862
Corynebacterium amycolatum	1.4084	0	0.3396	0.3633	0	0	12.5671	0.8241	0	0	0.2968	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0853	0.1713	0	0	0	0.1758	0	2.0738	0	0	0	0	0	0	0	0	0	0
Corynebacterium appendicis	0	0	0.3396	0	0	0.2822	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium aurimucosum	0	12.1849	0.1132	0	0	0.2822	0.3278	0	5.1173	0	0	0.2752	0	0	0.2019	0	0.0929	0	0	0	0	37.2046	0.9029	0.8714	0.0802	0.1713	0	0.3532	0	0	5.8708	0	0	31.9227	2.157	0	0	0	1.7943	0	30.3264	1.044
Corynebacterium auris	0	0.1183	7.8105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0988	0	0
Corynebacterium coyleae	0	0	0	0	0	0.0941	0	0	0	0	0.2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0988	0.1099	0.4474
Corynebacterium crudilactis	0.7824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.1754	0	0	0	0	0
Corynebacterium diphtheriae	0.7824	0.3549	2.0375	0.7267	0	0.9408	16.3918	0	0.6397	0	0.2968	0	0	0	0.6056	0	0	0	0	0	0	6.9479	0.602	0	1.3634	0.1713	0	1.5892	0	0	0	0	0.2301	0	0	0	0	0.0997	0	1.1858	38.787	2.2371
Corynebacterium falsenii	3.4427	0	0	0	0	0.0941	0.3278	0	0	0	0	0.1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7658	0	0	8.6958	0	0
Corynebacterium fournieri	0.313	1.4196	0.566	0	0	0	0	0	0	0	0.2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4474
Corynebacterium freneyi	0.6259	0	0	0	0	0.1882	0.5464	0	0	0	0	0	0	0	0	0	0.0929	0	0	0	0	0	0	0	0	0.0857	0	0	0	0	0	1.3825	0	0	0	0	0	0	0	0	0	0
Corynebacterium glucuronolyticum	0	0	0	0	0	0.0941	0	0	0	0	0	0	0	0	1.2111	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5847	0	0	0	0	0	0	0	0	0	0	0.1976	18.1299	0
Corynebacterium glutamicum	0.4695	0.1183	0.566	0	0	0.5645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7218	0.0857	0	0	0	0	0	0	0	0	0	0.208	0	0	0	0.1976	0.1099	1.4914
Corynebacterium gottingense	0	0	0	0	0	0.1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0988	0.1099	1.6405
Corynebacterium hadale	0.1565	0	0	0	0	0	0	0	0	0	0.2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4812	0	0	0	0	0.0879	0	0	0	0	0	0	0	0	0	0	0	2.8336
Corynebacterium ihumii	0	0	2.6035	0	0	0	0	0.1648	0.6397	0	1.1874	0	0	0	0	0	0	0	0	0	0	0	0.602	0	0.0802	0.0857	0	0	0	0	0	0	0	0	2.5884	0	0	0.1994	0	0.1976	0	0
Corynebacterium imitans	0.1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1069	0	0.5614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1099	66.814
Corynebacterium jeddahense	0	4.2588	0	0	0	0	0	0	0.6397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0802	0	0	0	0	0	0	0	0.2301	0	0	0	0	0	0	7.7076	0	0
Corynebacterium jeikeium	6.5724	0	0	0	1.0598	0	22.2929	154.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.439	0	0.1491
Corynebacterium kefirresidentii	0.1565	0	1.4716	1.09	0	16.8409	0.2186	0.3296	15.3519	0	4.1559	0	0	17.0301	5.0463	0	0	0	0	0	0	0	0	0	0	0.0857	0	0.1766	0	0.0879	0	0	0	0	106.988	0	0	0	0	1.4822	0	0
Corynebacterium macginleyi	15.4921	31.7043	0.2264	1.8167	0.3533	104.432	60.1034	36.5896	33.9022	1.9918	40.0746	2.6147	0	12.1643	6.4592	0	0	0	0	1.1164	0.2549	42.3595	0	11.038	0.3208	0	0	92.1756	0	0	1.3343	8.2951	31.066	0.7565	30.1983	0	0	0	19.1388	0.2964	599.055	58.4623
Corynebacterium massiliense	0	0	0	0.3633	0	0	0.1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2039	0	0	0.0857	0	0	0	0	0	0	0	0	0	0.208	0	0	0	0	0.2198	0
Corynebacterium minutissimum	0	0	0	0	0	0	0.3278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0802	0	0	0	0	0	94.1992	0	0	0	0	0	0	0	0	0	9.889	0.1491
Corynebacterium nuruki	0	0	0	2.18	0	0	0.765	0	1.919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4159	0	0	0	0	0	0
Corynebacterium phocae	0	0	0	0	0	0	0	0	14.0726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2198	0
Corynebacterium propinquum	0	0.3549	0.1132	0	1.9429	0.2822	0.4371	0	0	0	0.8905	0	0	0.1431	0	0	0	0	0	0	0	0.2241	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208	0	0.0997	0	0.0988	5.4939	0
Corynebacterium pseudodiphtheriticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0988	4.6149	0
Corynebacterium pseudogenitalium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3206	0	0	0	0	0	0	0	0	0	2.3012	0	0	0	0	0	0	0	0.1099	11.9311
Corynebacterium pseudotuberculosis	0.4695	0.1183	1.9243	1.09	0	0.3763	0.6557	0	0	0	0.2968	0	0	0.1431	0	0	0	0	0	0	1.7841	0.2241	0	0	0.2406	0	0	0	0	0	0	0	0.2301	0.3026	0	0.4159	0	0	0	0.0988	4.3951	0.8948
Corynebacterium riegelii	0	0	0.1132	0	0	0	0	0	0	0	0	0	0	0	0.2019	0	0	0	0	0	0	0.2241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.8273	0.1099	0
Corynebacterium sanguinis	0	0	0	1.8167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1274	0	0.301	0	0	0.1713	0	0	0	0	0	0	0	0	0	0	0	0	0.1196	0.0988	0.1099	0.1491
Corynebacterium segmentosum	8.2938	0	0	0	0	529.875	0	0	0	0	0.2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.4024	0	0	0	0	0	0	0	0
Corynebacterium simulans	0	0	0.1132	0	0	0	0.1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8006	0	0	0	0	0	0	0	0	0.0988	0.1099	0
Corynebacterium sp. FDAARGOS 1242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.6123	0	0	0	0	0	0	0	0	0	0.1099	0
Corynebacterium sp. NML98-0116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4373	0	0.0802	0	0	0	0	0	0	0	1.3807	0	0	0	0	0	0	0	0	9.9923
Corynebacterium sp. SCR221107	0	0.1183	0.2264	0	0.1766	36.2219	0	0.8241	0	0	3.5622	0	0	0.5724	0	0	0	0	0	0	84.4898	6.9479	0	0	0	0	0	1.9424	9.1695	0	0	0	17.2589	0	17.6876	0	3.5561	0	5.622	0	0.1099	0
Corynebacterium stationis	0.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1099	0.1491
Corynebacterium striatum	0.6259	0.9464	1.2452	0	0.1766	0.3763	3.934	0	3.1983	0	0	0.2752	0	0.1431	1.2111	0	0	0	0	0.3721	0.2549	2.6895	0.602	0	0.5614	0	0	2.119	0	0	0	0	0	0	3.8826	0	0	0.0997	0.2392	0.1976	1.9778	11.4837
Corynebacterium tuberculostearicum	2.0343	44.1257	14.0363	3.6334	0.7065	44.6894	3.8248	0.6593	7.676	0	23.7479	3.5781	1.2237	4.0071	14.3313	2.1542	0	0	0	0.5582	0.5097	64.996	0.602	0	16.8425	12.0772	0	1.7658	11.4618	0.0879	0	0.6913	0.4602	0	41.4148	40.1378	5.5316	2.1933	8.3732	302.377	515.768	25.3535
Corynebacterium ureicelerivorans	0	0	0	0	0	3.2929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2301	0	0	0	0	0	0	101.484	0	0
Corynebacterium variabile	0	0	0	0	0	0	29.6146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208	0	0	0	0	0	0.2983
Corynebacterium vitaeruminis	0	0	0	0.3633	0	0.0941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3823	0	0	0	0	0	0	2.6487	0	0	0	0	0	0	0	0	0	0	0.1196	0	0	0
Corynebacterium zhongnanshanii	0.1565	0	0	0	0	0	2.1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crassaminicella indica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter sakazakii	0.6259	1.4196	0.1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3721	0.1274	0	0	0	0	0	0	0	0	0.0879	0	0	0	0	0	0.4159	0	0	0	0	0	0
Cupriavidus cauae	0	0	1.4716	0	0.3533	0.0941	0	0.6593	0	0	1.1874	0	0.4079	0	0.2019	0	0	0	0	0	0.2549	0	0	0.5809	0.1604	0.0857	0	0	0	0.1758	0	0	0	0.3026	0	1.2478	0	0	0.1196	0.2964	1.2087	0.2983
Cupriavidus gilardii	0	0.1183	0.7924	0	0.3533	0.2822	0.3278	0.3296	0	21.91	0.2968	0.1376	0	0	0	0	0	0	0	0	0.5097	0	0	0	0.3208	0.9422	0	0.1766	0	0.2637	0	0	0.4602	0.1513	0	1.0398	0	0.4985	0	0.6917	1.2087	0.2983
Cupriavidus metallidurans	0.1565	0	1.6979	0	35.3258	0	0.2186	0	0	0	0	0	1.6317	0	0	0	0	0	0	0	0	0	0	0.2905	0	0	0	0	0	0	0.5337	4.8388	0	0.3026	0.8628	0	0	0	0	0.0988	0	0.1491
Cupriavidus taiwanensis	3.4427	0	0.1132	0	0.5299	0	0.2186	0.1648	0	0	0	0	0	0	0.4037	0	0	0	0	0	0	0	0	0	0	0.0857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curtobacterium flaccumfaciens	3.9122	0	0.2264	9.8102	0.3533	0.2822	0.9835	0.3296	0	0	0	54.634	0	0.2862	0	0	0	0	0	0	3.1859	1.793	0	0	0	0	0	0.1766	0	0	0	0	0.6904	0	0	180.308	0.3951	0	0	1.4822	8.7903	16.4052
Curtobacterium sp. 9128	0.1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7646	0	0	0	0	0	0	0.3532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curtobacterium sp. C1	0.7824	0	0	0.3633	0	0	0.2186	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4159	0	0	0	0	0	0
Curtobacterium sp. L6-1	0	0	0	0	0	0	1.5299	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208	0	0	0	0	0.1099	0.1491
Curtobacterium sp. MCBA15_004	0	0	0	0	0	0	1.6392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curtobacterium sp. MCJR17_043	0	0	0	0	0	0	0.8742	0	0	0	0	0	0	0.1431	0	0	0	0	0	0	0.892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1491
Curtobacterium sp. MCLR17_032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6151	0	0.0997	0	0	0	0
Curtobacterium sp. MCPF17_052	0	0	0	0	0	0	1.2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2478	0	0	0	0	0	0
Curtobacterium sp. SGAir0471	0.4695	0	0	0	0	0	0	0	0	0	0	0.6881	0	0	0	0	0	0	0	0	0.1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.5011	0	0	0	10.0792	0	0.8948
Curtobacterium sp. YC1	0.1565	0	0	10.9002	0	0	0	0	5.1173	5.3115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5847	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium acnes	53.3617	77.3679	4396.07	31.6105	71.3581	477.565	265.766	303.595	255.865	27.8855	228.87	33.0281	118.702	14.7403	0.8074	14.361	4.9232	0.2781	0.4802	2.7911	128.837	26.4467	9.3305	55.1901	2.5665	22.7839	50.361	243.153	71.0634	59.4989	30.955	103.689	251.059	10.1366	370.145	6.447	71.9112	11.066	19.4977	848.631	218.767	122.89
Cutibacterium avidum	0.9389	0	106.63	0	0	4.516	0	0.3296	0	0	0	0	0	0	0	0	0	0	0	0	0.2549	0.6724	0	0.2905	0	0	0	0	0	3.4276	0	0	0.4602	0	1.2942	0	0	0	0	1.1858	0.3296	0
Cutibacterium granulosum	2.8168	0	100.631	0	0.3533	0.2822	0.3278	0.1648	0	0	3.2653	0	0	12.0212	0	27.0465	0.0929	0	0	0	0.1274	2.6895	0.602	0.2905	0.1604	0	0	18.5411	0	151.691	0.5337	8.2951	0	0	0	0.208	0	10.9663	2.512	488.645	359.961	1.044
Cyanobacterium sp. uoEpiScrs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9864	0	0	0	0	0	0	0	0	0	0
Cytomegalovirus macacinebeta3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytophaga hutchinsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5072	0	0	0	0	0.1491
