SAMPLEID	VERDY19	Plrevelo.MOCKZYMO	Plrevelo.NT4	VERDY5	Plrevelo.NT2	VERDY2	VERDY55	ED	VERDY24	VERDY20	VERDY21	VERDY8	VERDY7	VERDY39	VERDY51	VERDY35	VERDY38	VERDY65	VERDY66	VERDY52	VERDY54	VERDY4	VERDY23	VERDY53	Plrevelo.IV01IV	Plrevelo.TLIB2	VERDY40	VERDY33	VERDY9	Plrevelo.TLIB1	VERDY6	Plrevelo.NT1	VERDY17	VERDY34	VERDY36	VERDY3	VERDY18	FMR	VERDY49	Plrevelo.NT5	Plrevelo.NT3	VERDY37
Acidovorax sp. KKS102	1537.47	0.3549	0	0	0	0	0.1093	0.1648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1604	0	0	0	0	0	0	0	0	0.4539	0.4314	0	0	0	0	0.0988	0.1099	0.1491
Acidovorax sp. NCPPB 2350	0	0	0.566	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0929	0	0	0	0	0	0	0	0.0802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. NCPPB 3576	0	0	0	0	0	0	0	0.3296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.717	0	0	0	0	0
Acidovorax sp. RAC01	0.4695	0	3.3959	0	0	0	0	0.1648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4314	0	58.4772	0	0	0	0	0
Acidovorax sp. T1	0.6259	0	0.7924	0	0	0	0	0.1648	0	0	0	0.1376	0	0	0	0	0	0	0	0	0.1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2198	78.8943
Acidovorax sp. YS12	0	0.4732	0	0	0	0	0	0.1648	0	0	0	0	0	0.5724	0	0	0	0	0	0	0	0	0	0.2905	0	0.0857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax temperans	7.0419	0	9.0557	0	0.5299	0	0	0	0	0.6639	0.2968	0	0	0	0	0	0.0929	0	0	0	0	0	0.301	0	0	0.0857	0	0	0	0	0	0	0	0	0	0	1.1854	0	0	0	0	0
Acinetobacter baumannii	85.7543	7.4529	2.0375	1.09	3.1793	2.3521	0	3.626	0.6397	3.3197	1.7811	0	0	0	0	0.1197	0	0	0	0	56.5814	0.8965	0.301	0.8714	1.7645	0.5996	1.3798	0.5297	0	4.1306	0.5337	0	0.6904	1.6642	0	29.3235	1.1854	14.0568	0.4785	6.3242	1.9778	1.3423
Acinetobacter bereziniae	0	0	0	0	0	0.5645	0	5.439	0	11.287	0	4.9542	0.8158	0	0.4037	0	0	0	0	0	0	0	1.5049	0	0	0.1713	0	0	0	0	0.2669	8.2951	0	0	0	0	0	0	2.512	0.0988	0.3296	0
Acinetobacter defluvii	0	0	0	0	0	0.0941	0	0	0	0	0	0	1.6317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
